,Name,Users
8338,410501,361651
8339,410206,361639
8340,421201,339622
8341,411033,293493
8342,411014,288386
8343,411046,275050
8344,431003,269570
8345,421301,267613
8346,400612,264454
8347,pune,8331582
8348,thane,5196050
8349,mumbai suburban,5017556
8350,nashik,2661739
8351,nagpur,2286011
8352,aurangabad,1894797
8353,mumbai,1873643
8354,ahmednagar,1749682
8355,palghar,1601518
8356,solapur,1565902
8357,421302,518716
8358,410501,383878
8359,410206,382909
8360,421201,359195
8361,411033,309834
8362,411014,304204
8363,411046,290395
8364,431003,285232
8365,421301,283274
8366,400612,280349
8367,pune,8757249
8368,thane,5471749
8369,mumbai suburban,5281053
8370,nashik,2803471
8371,nagpur,2407812
8372,aurangabad,1996927
8373,mumbai,1972178
8374,ahmednagar,1844168
8375,palghar,1689875
8376,solapur,1649511
8377,421302,547501
8378,410501,405030
8379,410206,402926
8380,421201,377989
8381,411033,325347
8382,411014,319102
8383,411046,304859
8384,431003,299893
8385,421301,298201
8386,400612,295518
8387,pune,9194074
8388,thane,5757165
8389,mumbai suburban,5555095
8390,nashik,2948824
8391,nagpur,2532986
8392,aurangabad,2101234
8393,mumbai,2074701
8394,ahmednagar,1940071
8395,palghar,1781265
8396,solapur,1733556
8397,421302,577754
8398,410501,426978
8399,410206,423682
8400,421201,397304
8401,411033,341226
8402,411014,334370
8403,411046,319916
8404,431003,315106
8405,421301,313660
8406,400612,311391
8407,pune,9622338
8408,thane,6042267
8409,mumbai suburban,5831539
8410,nashik,3086721
8411,nagpur,2655029
8412,aurangabad,2201353
8413,mumbai,2178155
8414,ahmednagar,2027819
8415,palghar,1870957
8416,solapur,1811044
8417,421302,608005
8418,410501,448917
8419,410206,443926
8420,421201,416996
8421,411033,357121
8422,411014,349702
8423,411046,335006
8424,431003,330549
8425,421301,329184
8426,400612,327401
8427,pune,10037022
8428,thane,6314618
8429,mumbai suburban,6095695
8430,nashik,3223873
8431,nagpur,2775157
8432,aurangabad,2300283
8433,mumbai,2276888
8434,ahmednagar,2119506
8435,palghar,1957628
8436,solapur,1892509
8437,421302,636458
8438,410501,469695
8439,410206,463523
8440,421201,435681
8441,411033,372363
8442,411014,364299
8443,411046,349377
8444,431003,345051
8445,421301,343824
8446,400612,342471
8447,pune,10396344
8448,thane,6552282
8449,mumbai suburban,6322778
8450,nashik,3350410
8451,nagpur,2882255
8452,aurangabad,2390854
8453,mumbai,2361852
8454,ahmednagar,2208055
8455,palghar,2037722
8456,solapur,1970077
8457,421302,662196
8458,410501,488059
8459,410206,480675
8460,421201,451655
8461,411033,384994
8462,411014,376210
8463,411046,361178
8464,431003,357173
8465,421301,356662
8466,400612,356058
8467,pune,10780092
8468,thane,6802106
8469,mumbai suburban,6560867
8470,nashik,3481028
8471,nagpur,2995471
8472,aurangabad,2485041
8473,mumbai,2450770
8474,ahmednagar,2297997
8475,palghar,2118552
8476,solapur,2050042
8477,421302,688520
8478,410501,507190
8479,410206,499001
8480,421201,468655
8481,411033,398622
8482,411014,389628
8483,411046,374188
8484,431003,370416
8485,400612,370074
8486,421301,370025
8487,imphal west,11304
8488,imphal east,6759
8489,thoubal,2764
8490,bishnupur,2371
8491,churachandpur,1524
8492,kangpokpi,1439
8493,kakching,915
8494,ukhrul,602
8495,tamenglong,550
8496,jiribam,460
8497,795004,5825
8498,795001,2063
8499,795138,1608
8500,795008,1230
8501,795133,1211
8502,795002,1189
8503,795130,1034
8504,795149,1034
8505,795009,970
8506,795010,948
8507,imphal west,16541
8508,imphal east,10390
8509,thoubal,4771
8510,bishnupur,3751
8511,churachandpur,2362
8512,kangpokpi,2183
8513,kakching,1571
8514,ukhrul,905
8515,tamenglong,824
8516,jiribam,732
8517,795004,8370
8518,795001,3001
8519,795138,2602
8520,795133,1893
8521,795130,1795
8522,795149,1775
8523,795008,1773
8524,795002,1728
8525,795148,1539
8526,795103,1516
8527,imphal west,21696
8528,imphal east,13541
8529,thoubal,6112
8530,bishnupur,5106
8531,churachandpur,3420
8532,kangpokpi,3073
8533,kakching,2326
8534,ukhrul,1346
8535,tamenglong,1268
8536,jiribam,1086
8537,795004,10911
8538,795001,4101
8539,795138,3219
8540,795133,2534
8541,795002,2316
8542,795008,2279
8543,795103,2219
8544,795130,2128
8545,795149,2114
8546,795148,2056
8547,imphal west,28383
8548,imphal east,17777
8549,thoubal,8027
8550,bishnupur,7049
8551,churachandpur,4951
8552,kangpokpi,4249
8553,kakching,3153
8554,ukhrul,1842
8555,tamenglong,1712
8556,jiribam,1393
8557,795004,14342
8558,795001,5526
8559,795138,4221
8560,795133,3508
8561,795002,3077
8562,795103,2985
8563,795008,2877
8564,795148,2734
8565,795149,2679
8566,795010,2549
8567,imphal west,33668
8568,imphal east,21136
8569,thoubal,9529
8570,bishnupur,8537
8571,churachandpur,6138
8572,kangpokpi,5212
8573,kakching,3850
8574,ukhrul,2368
8575,tamenglong,2148
8576,jiribam,1759
8577,795004,16916
8578,795001,6562
8579,795138,4947
8580,795133,4247
8581,795002,3738
8582,795103,3612
8583,795008,3437
8584,795148,3259
8585,795149,3182
8586,795010,3025
8587,imphal west,39303
8588,imphal east,24652
8589,thoubal,10915
8590,bishnupur,10014
8591,churachandpur,7662
8592,kangpokpi,6407
8593,kakching,4599
8594,ukhrul,2981
8595,tamenglong,2628
8596,chandel,2175
8597,795004,19706
8598,795001,7662
8599,795138,5616
8600,795133,4966
8601,795002,4424
8602,795103,4265
8603,795008,3990
8604,795148,3777
8605,795149,3589
8606,795010,3558
8607,imphal west,45268
8608,imphal east,28331
8609,thoubal,12427
8610,bishnupur,11647
8611,churachandpur,9071
8612,kangpokpi,7621
8613,kakching,5355
8614,ukhrul,3488
8615,tamenglong,3085
8616,chandel,2581
8617,795004,22710
8618,795001,8963
8619,795138,6388
8620,795133,5752
8621,795002,5070
8622,795103,5001
8623,795008,4684
8624,795148,4254
8625,795010,4102
8626,795149,3974
8627,imphal west,51063
8628,imphal east,31935
8629,thoubal,14194
8630,bishnupur,13387
8631,churachandpur,10431
8632,kangpokpi,8850
8633,kakching,6126
8634,ukhrul,4091
8635,tamenglong,3651
8636,chandel,3029
8637,795004,25471
8638,795001,10002
8639,795138,7206
8640,795133,6672
8641,795103,5745
8642,795002,5696
8643,795008,5365
8644,795148,4925
8645,795010,4709
8646,795149,4512
8647,imphal west,57485
8648,imphal east,36105
8649,thoubal,16244
8650,bishnupur,15333
8651,churachandpur,12420
8652,kangpokpi,10241
8653,kakching,7075
8654,ukhrul,4892
8655,tamenglong,4169
8656,chandel,3471
8657,795004,28400
8658,795001,11267
8659,795138,8206
8660,795133,7649
8661,795103,6635
8662,795002,6376
8663,795008,6066
8664,795148,5614
8665,795010,5397
8666,795149,5197
8667,imphal west,67897
8668,imphal east,43144
8669,thoubal,20186
8670,bishnupur,19027
8671,churachandpur,15469
8672,kangpokpi,12965
8673,kakching,9028
8674,ukhrul,6223
8675,tamenglong,5158
8676,chandel,4278
8677,795004,32442
8678,795001,13115
8679,795138,10076
8680,795133,9675
8681,795103,8426
8682,795002,7522
8683,795008,7283
8684,795148,6862
8685,795149,6744
8686,795010,6572
8687,imphal west,79723
8688,imphal east,51383
8689,thoubal,24183
8690,bishnupur,22965
8691,churachandpur,19501
8692,kangpokpi,15966
8693,kakching,10752
8694,ukhrul,7657
8695,tamenglong,6475
8696,chandel,5252
8697,795004,37728
8698,795001,15470
8699,795138,12056
8700,795133,11530
8701,795103,10017
8702,795002,8812
8703,795008,8766
8704,795148,8207
8705,795149,8206
8706,795010,8105
8707,imphal west,88777
8708,imphal east,57282
8709,thoubal,26858
8710,bishnupur,25629
8711,churachandpur,21960
8712,kangpokpi,17814
8713,kakching,11913
8714,ukhrul,8651
8715,tamenglong,7322
8716,chandel,5987
8717,795004,41917
8718,795001,17273
8719,795138,13264
8720,795133,12893
8721,795103,11106
8722,795008,9845
8723,795002,9803
8724,795148,9237
8725,795149,9058
8726,795010,9055
8727,imphal west,96101
8728,imphal east,62004
8729,thoubal,29072
